Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,Latitude,Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
313,01-10-15 8:00,01-10-15 8:05,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24683,Subscriber,1982,1,5
228,01-10-15 8:00,01-10-15 8:04,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24669,Subscriber,1974,1,4
319,01-10-15 8:01,01-10-15 8:06,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24379,Subscriber,1970,1,5
379,01-10-15 8:02,01-10-15 8:08,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24556,Subscriber,1977,2,6
375,01-10-15 8:02,01-10-15 8:08,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24562,Subscriber,1980,1,6
248,01-10-15 8:02,01-10-15 8:06,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24532,Subscriber,1970,1,4
94,01-10-15 8:04,01-10-15 8:06,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24590,Subscriber,1963,2,2
380,01-10-15 8:04,01-10-15 8:10,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24497,Subscriber,1974,1,6
464,01-10-15 8:06,01-10-15 8:14,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,24704,Subscriber,1963,1,8
571,01-10-15 8:06,01-10-15 8:16,3207,Oakland Ave,40.7376037,-74.0524783,3211,Newark Ave,40.72152515,-74.04630454,24579,Subscriber,1978,2,10
373,01-10-15 8:07,01-10-15 8:13,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24681,Subscriber,1978,1,6
504,01-10-15 8:07,01-10-15 8:16,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24399,Subscriber,1990,1,8
369,01-10-15 8:08,01-10-15 8:14,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24444,Subscriber,1971,2,6
1596,01-10-15 8:08,01-10-15 8:35,3216,Columbia Park,40.6970299,-74.0969366,3195,Sip Ave,40.73074263,-74.06378388,24587,Subscriber,1963,1,27
212,01-10-15 8:08,01-10-15 8:12,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24557,Subscriber,1970,2,4
297,01-10-15 8:09,01-10-15 8:14,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24506,Subscriber,1989,1,5
731,01-10-15 8:10,01-10-15 8:22,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,24572,Subscriber,1977,2,12
405,01-10-15 8:12,01-10-15 8:19,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24620,Subscriber,1984,1,7
273,01-10-15 8:12,01-10-15 8:17,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24414,Subscriber,1976,1,5
762,01-10-15 8:13,01-10-15 8:26,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24628,Subscriber,1994,1,13
280,01-10-15 8:14,01-10-15 8:18,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24402,Subscriber,1981,2,5
588,01-10-15 8:14,01-10-15 8:24,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24434,Subscriber,1984,2,10
108,01-10-15 8:15,01-10-15 8:17,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24571,Subscriber,1980,1,2
718,01-10-15 8:17,01-10-15 8:29,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,24639,Subscriber,1970,1,12
651,01-10-15 8:17,01-10-15 8:28,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.73074263,-74.06378388,24481,Subscriber,1979,1,11
470,01-10-15 8:17,01-10-15 8:25,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,24606,Subscriber,1975,1,8
242,01-10-15 8:17,01-10-15 8:21,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24419,Subscriber,1980,1,4
