OBJECTID,Longitude,Latitude,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,STATION_NUMBER,STATION_NAME,STREET_NAME,BETWEEN_WHICH_CROSS_STREET,GEO_LOCATION,ZONE,STATION_CATEGORY,STATION_TYPE,PUBLIC_PRIVATE,DOCK_ORIENTATION,STATION_LENGTH_AVAILABLE,STATION_WIDTH_AVAILABLE,NUMBER_OF_RACKS,SURFACE,TYPE_OF_SIGN,KIOSK_,MARTA,PARK,INSTALLED
49,-84.35790599,33.76189537,{C69025CB-DE1A-443E-82EA-E338FF0F8237},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,904,Inman Park,Elizabeth St,Elizabeth St & Austin Ave,33.761813  -84.357885,9,Off Roadway,On-street,Public,Mono-directional Straight,38,6,16,Asphalt,Large Sign,yes,yes,yes,yes
50,-84.43218575,33.73906823,{9F8E9423-A65D-4505-8B46-E06154F2D274},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,604,Gordon-White Park,RDA,RDA & White St,33.738941  -84.432181,6,Park,Plaza,Public,Mono-directional Straight,35,6,12,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
51,-84.3989216,33.78331871,{0B23205C-DE2B-48AB-BEC7-DB5DFBB996E5},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,100,State & 11th,State,State & 11th,33.783278  -84.398917,1,On Roadway,Non-metered,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
53,-84.41137277,33.78588218,{872E92D1-616C-4CC9-8073-EC9A8F73D6CE},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,101,14th & Howell Mill Rd,,,-84.411414 33.785871,1,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,,Concrete,Small Sign,yes,yes,yes,yes
54,-84.36980784,33.78228111,{63DC9339-E4A1-4271-AE8A-483F470E2FB7},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,201,Piedmont Park & Eastside BeltLine,,,33.782304  -84.369834,2,On Roadway,Other,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
55,-84.38439524,33.78331871,{F7343DE3-E7A3-46B9-B707-ABD401FED300},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,107,11th & Peachtree ,11th St,11th & Crescent Ave,-84.384425 33.783296,1,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,,Asphalt,Small Sign,yes,yes,yes,yes
56,-84.397884,33.75231285,{CD6CA63E-4BB4-4CF6-A6EB-86E8E671EB54},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,707,Nelson St. Bridge,,,-84.397895 33.752256,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
57,-84.38610422,33.75408287,{20C649A2-36AC-4724-B52D-453A231A51DE},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,809,GSU Arts & Humanities,,,"33.754152  -84.386118
",8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
58,-84.39031565,33.75347252,{9C80B505-1F81-41F9-9CBA-477776F87EC8},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,812,Underground Atlanta,,Peachtree St & Wall St,33.75344    -84.39034,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
59,-84.36968577,33.74651451,{E09BE5B2-D6D8-4D04-88B1-5D80FF13D3A5},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,830,Park & Memorial,Park Ave,Park Ave & Memorial St,33.746517  -84.369679,8,On Roadway,On-street Parking,Public,Mono-directional Straight,35,6,10,Asphalt,Small Sign,yes,yes,yes,yes
60,-84.38567698,33.75109215,{9E83722A-84A8-4320-8FAB-BCB67CD501EA},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,814,GSU MARTA ,,,-84.385707 33.751079,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
61,-84.38799631,33.75628014,{E38A3B5C-6863-4C09-AFBB-F19D4B5C4048},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,815,Woodruff Park,Auburn Ave NE ,Peachtree St NW / Park Pl NE,-84.388068 33.756172,8,On Roadway,Plaza,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
62,-84.39080393,33.74871178,{61CFBD15-4D29-453E-85B7-D2E05E7EBD67},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,816,City Hall,,,-84.3909      33.748572,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,8,Concrete,Small Sign,yes,yes,yes,yes
63,-84.38061106,33.75408287,{EC99DB7C-32D8-4992-82DA-799D417AFDDB},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,817,Sweet Auburn Market,Jesse Hill Jr Dr. SE,Coca Cola Pl SE / Edgewood Ave SE,33.75404    -84.380606,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,7,Concrete,Small Sign,yes,yes,yes,yes
64,-84.38738596,33.76311607,{C0FCD426-3ECA-4E47-95A3-3DE387746951},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,708,Hardy Ivy Park,,,-84.387381 33.763005,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
65,-84.39344367,33.75162022,{976EE1A3-545D-4CFE-AD80-5D89FF95264D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,709,S. Broad,Broad St,,33.753         -84.39228,7,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,10,Concrete,Small Sign,yes,yes,yes,yes
66,-84.39080393,33.75188561,{2811FB5D-8F6A-4D4D-8EE6-EA0045DE345D},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,710,M. Rich,,,-84.390922 33.751837,8,On Roadway,Sidewalk,Public,Mono-directional Straight,35,6,8,Concrete,Small Sign,yes,yes,yes,yes
68,-84.37920725,33.78167076,{FE2E7019-5FD3-4E6A-9D21-BE0A1749B65C},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,401,Outwrite Station,10th Street ,10th Street NE & Myrtle St NE,33.781749  -84.379257,4,On Roadway,Sidewalk,Public,Mono-directional Straight,36',6,15,Concrete,Small Sign,yes,yes,yes,yes
69,-84.39458811,33.76067467,{5661CE99-46F6-499B-B55C-B4CF4AD3C7EC},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,800,Centennial Olympic Park,Park Ave NW,Park Ave & Marietta,-84.39458   33.760534,7,On Roadway,Sidewalk,Public,Mono-directional Straight,26,6,11,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
70,-84.41320382,33.75206871,{EE43D858-A6B3-4842-BF69-33CEA61C8A1A},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,602,AUC - Woodruff Library,Beckwith St,,33.751994  -84.413249,6,On Roadway,Sidewalk,Private,Mono-directional Straight,37,6,15,Concrete,Small Sign,yes,yes,yes,yes
71,-84.3820759,33.78667564,{1AD1A2E7-47D9-4283-B143-309682D50A17},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,210,Colony Square,14th St,14th St & Juniper,33.786567  -84.382154,2,On Roadway,Sidewalk,Private,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
72,-84.41387521,33.75609703,{507ABF57-39D3-478E-8766-76C1DD748506},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,601,Historic Westside Village,,,-84.413903 33.756012,6,On Roadway,Sidewalk,Private,Mono-directional Straight,26,6,10,Concrete,Small Sign,yes,yes,yes,yes
73,-84.41399728,33.73687096,{BE792ABA-550A-4F34-81AB-BD5C9CE63A78},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,606,West End MARTA (North),Lee St,York Ave & Lee St,33.736903  -84.413996,6,Private Property,Plaza,Private,Mono-directional Straight,38,6,16,Concrete,Small Sign,yes,yes,yes,yes
75,-84.397884,33.79326743,{F245E988-3DDA-4E8B-B051-1D5049795D19},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,108,Atlantic Station,,,-84.397874 33.793307,1,Private Property,Sidewalk,Private,Mono-directional Straight,26,6,10,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
76,-84.39611398,33.76989098,{A6A508B0-AB15-4EC7-99BF-99A32AD298C4},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,313,Coca Cola Campus,Luckie Street Northwest,Luckie St & North Ave,33.769823  -84.396140,3,Private Property,Sidewalk,Private,Mono-directional Straight,13,6,10,Concrete,Small Sign,yes,yes,yes,yes
78,-84.38628733,33.78167076,{7F51AEAB-50EC-4ABE-9E46-1DD0FB6320D3},LLADEFIAN,2017-04-12T12:50:35.000Z,LLADEFIAN,2017-08-17T18:31:11.000Z,104,Midtown MARTA NORTH,10th Street,Peachtree & Crescent,33.781714  -84.386336,1,Off Roadway,Plaza,Public,Mono-directional Straight,49,6,20,Stone or Brick Pavers,Small Sign,yes,yes,yes,yes
80,-84.38799631,33.76488609,{5F2B1525-AC48-47C9-8B02-56EFE57A5B91},GIS,2017-04-12T12:50:35.000Z,GIS,2017-04-20T17:01:18.000Z,703,Ivan Allen & W. Peachtree,Ivan Allen Blvd,Ivan Allen & W. Peachtree,33.764747  -84.387981,7,On Roadway,Metered Parking,Public,Mono-directional Straight,40',6,15,Asphalt,Large Sign,yes,yes,yes,yes
